id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pendidikan,satuan,tahun
256,32,JAWA BARAT,3216,KABUPATEN BEKASI,65.8,POIN,2019
257,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.21,POIN,2019
258,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59.07,POIN,2019
259,32,JAWA BARAT,3271,KOTA BOGOR,71.62,POIN,2019
260,32,JAWA BARAT,3272,KOTA SUKABUMI,69.32,POIN,2019
261,32,JAWA BARAT,3273,KOTA BANDUNG,75.22,POIN,2019
262,32,JAWA BARAT,3274,KOTA CIREBON,69.42,POIN,2019
263,32,JAWA BARAT,3275,KOTA BEKASI,75.86,POIN,2019
264,32,JAWA BARAT,3276,KOTA DEPOK,75.31,POIN,2019
265,32,JAWA BARAT,3277,KOTA CIMAHI,74.81,POIN,2019
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67.77,POIN,2019
267,32,JAWA BARAT,3279,KOTA BANJAR,65.46,POIN,2019
268,32,JAWA BARAT,3201,KABUPATEN BOGOR,62.33,POIN,2020
269,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57.54,POIN,2020
270,32,JAWA BARAT,3203,KABUPATEN CIANJUR,57.24,POIN,2020
271,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65.12,POIN,2020
272,32,JAWA BARAT,3205,KABUPATEN GARUT,58.15,POIN,2020
273,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,59.31,POIN,2020
274,32,JAWA BARAT,3207,KABUPATEN CIAMIS,64.72,POIN,2020
275,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,59.18,POIN,2020
276,32,JAWA BARAT,3209,KABUPATEN CIREBON,57.09,POIN,2020
277,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,58.18,POIN,2020
278,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,64.39,POIN,2020
279,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,55.03,POIN,2020
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,56.17,POIN,2020
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,60.61,POIN,2020
282,32,JAWA BARAT,3215,KABUPATEN KARAWANG,59.48,POIN,2020
283,32,JAWA BARAT,3216,KABUPATEN BEKASI,66.76,POIN,2020
284,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.27,POIN,2020
285,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59.33,POIN,2020
286,32,JAWA BARAT,3271,KOTA BOGOR,71.68,POIN,2020
287,32,JAWA BARAT,3272,KOTA SUKABUMI,69.38,POIN,2020
288,32,JAWA BARAT,3273,KOTA BANDUNG,75.28,POIN,2020
289,32,JAWA BARAT,3274,KOTA CIREBON,69.48,POIN,2020
290,32,JAWA BARAT,3275,KOTA BEKASI,76.09,POIN,2020
291,32,JAWA BARAT,3276,KOTA DEPOK,76.27,POIN,2020
292,32,JAWA BARAT,3277,KOTA CIMAHI,74.87,POIN,2020
293,32,JAWA BARAT,3278,KOTA TASIKMALAYA,68.46,POIN,2020
294,32,JAWA BARAT,3279,KOTA BANJAR,65.52,POIN,2020
295,32,JAWA BARAT,3201,KABUPATEN BOGOR,62.39,POIN,2021
296,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57.67,POIN,2021
297,32,JAWA BARAT,3203,KABUPATEN CIANJUR,57.3,POIN,2021
298,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65.51,POIN,2021
299,32,JAWA BARAT,3205,KABUPATEN GARUT,58.52,POIN,2021
300,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,59.77,POIN,2021
301,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65.78,POIN,2021
302,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,59.97,POIN,2021
303,32,JAWA BARAT,3209,KABUPATEN CIREBON,57.75,POIN,2021
304,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,58.34,POIN,2021
305,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,64.46,POIN,2021
306,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,55.79,POIN,2021
307,32,JAWA BARAT,3213,KABUPATEN SUBANG,56.23,POIN,2021
308,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,60.67,POIN,2021
309,32,JAWA BARAT,3215,KABUPATEN KARAWANG,59.54,POIN,2021
310,32,JAWA BARAT,3216,KABUPATEN BEKASI,67.39,POIN,2021
311,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.33,POIN,2021
312,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,59.72,POIN,2021
313,32,JAWA BARAT,3271,KOTA BOGOR,72.38,POIN,2021
314,32,JAWA BARAT,3272,KOTA SUKABUMI,70.42,POIN,2021
315,32,JAWA BARAT,3273,KOTA BANDUNG,76.11,POIN,2021
316,32,JAWA BARAT,3274,KOTA CIREBON,70.21,POIN,2021
317,32,JAWA BARAT,3275,KOTA BEKASI,76.87,POIN,2021
318,32,JAWA BARAT,3276,KOTA DEPOK,76.89,POIN,2021
319,32,JAWA BARAT,3277,KOTA CIMAHI,75.29,POIN,2021
320,32,JAWA BARAT,3278,KOTA TASIKMALAYA,69.12,POIN,2021
321,32,JAWA BARAT,3279,KOTA BANJAR,66.01,POIN,2021
322,32,JAWA BARAT,3201,KABUPATEN BOGOR,62.52,POIN,2022
323,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57.73,POIN,2022
324,32,JAWA BARAT,3203,KABUPATEN CIANJUR,57.36,POIN,2022
325,32,JAWA BARAT,3204,KABUPATEN BANDUNG,65.57,POIN,2022
326,32,JAWA BARAT,3205,KABUPATEN GARUT,59.85,POIN,2022
327,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60.74,POIN,2022
328,32,JAWA BARAT,3207,KABUPATEN CIAMIS,66.33,POIN,2022
329,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60.27,POIN,2022
330,32,JAWA BARAT,3209,KABUPATEN CIREBON,58.78,POIN,2022
331,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,58.97,POIN,2022
332,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65.15,POIN,2022
333,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,56.85,POIN,2022
334,32,JAWA BARAT,3213,KABUPATEN SUBANG,56.72,POIN,2022
335,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,60.73,POIN,2022
336,32,JAWA BARAT,3215,KABUPATEN KARAWANG,60.39,POIN,2022
337,32,JAWA BARAT,3216,KABUPATEN BEKASI,68.18,POIN,2022
338,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,60.43,POIN,2022
